trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
206,False,"{'a': 0.75, 'e': 0.7939999999999998}",20,12,-20.880126484887832,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
207,False,"{'a': 0.75, 'e': 0.7929999999999998}",20,0,-95.56083763929969,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
208,False,"{'a': 0.75, 'e': 0.7919999999999998}",20,8,-25.311714845358956,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
209,False,"{'a': 0.75, 'e': 0.7909999999999998}",25,0,-107.33412963032247,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
210,False,"{'a': 0.75, 'e': 0.7899999999999998}",20,0,-37.88050482197883,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
211,False,"{'a': 0.75, 'e': 0.7889999999999998}",20,0,-47.172667210793286,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
212,False,"{'a': 0.75, 'e': 0.7879999999999998}",25,0,-11.451725170197275,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
213,False,"{'a': 0.75, 'e': 0.7869999999999998}",25,0,-47.309091946382054,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
214,False,"{'a': 0.75, 'e': 0.7859999999999998}",20,0,-85.03834739929033,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
215,False,"{'a': 0.75, 'e': 0.7849999999999998}",25,0,-33.1194843288332,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
216,False,"{'a': 0.75, 'e': 0.7839999999999998}",25,0,-194.65001448485435,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
217,False,"{'a': 0.75, 'e': 0.7829999999999998}",20,8,-9.314423145535166,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.75, 'e': 0.7819999999999998}",25,0,-101.67558508985675,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
219,False,"{'a': 0.75, 'e': 0.7809999999999998}",20,0,-103.33614883903428,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
220,False,"{'a': 0.75, 'e': 0.7799999999999998}",35,0,-22.394339026441852,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",0
